0.000056,3.088000,1,1000 
0.000033,3.208000,2,1000 
0.000021,3.175000,4,1000 
0.000017,3.080000,8,1000 
0.000013,-nan,16,1000 
0.000013,-nan,32,1000 
0.000095,-nan,64,1000 
0.042742,3.142872,1,1000000 
0.021183,3.141344,2,1000000 
0.010863,3.142744,4,1000000 
0.005288,3.140844,8,1000000 
0.002649,3.143100,16,1000000 
0.001338,3.143373,32,1000000 
0.000677,3.143754,64,1000000 
42.258891,3.141576,1,1000000000 
21.146493,3.141555,2,1000000000 
10.559266,3.141632,4,1000000000 
5.255171,3.141581,8,1000000000 
2.642143,3.141669,16,1000000000 
1.321026,3.141582,32,1000000000 
0.662833,3.141552,64,1000000000 
